"name","phoneNumber","address","rating","reviews","services"
"DLX Laundry - Laundry Service in Gurgaon","N/A","Plot No. 50, Sector 47, Gurugram, Haryana 122018","4.3","205","N/A"
"Nirmal Laundromat & Drycleaners","097111 11364","House No. 195, Jharsa, Mohyal Colony, Sector 40, Gurugram, Haryana 122001","4.7","143","Services: Eco-friendly cleaning,Quilt cleaning,Clothes pressing,Ironing,Clothing alterations & repairs,Laundry wash and fold,Car wash,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Alterations,Laundry pick-up,Wedding gown preservation,Wedding dress cleaning,Cleaning Service,Dry Cleaning,Express Laundry,Laundromat Laundry,Laundry,Laundry & Dry Cleaning,Laundry And Dry,Premium Laundry,Wash & Fold,Wash & Iron"
"The Laundry Machine, (Door step Dry Cleaning & Laundry Services) Sector-52","078782 95542","Plot No.81, nr. Ardee City, Indira Colony, Indira Colony 1, Sector 52, Gurugram, Bindapur, Haryana 122003","4.8","191","Services: Quilt cleaning,Ironing,Laundry wash and fold,Self-service laundry,Online dry cleaner booking,Dry cleaning,Laundry pick-up,Blanket Double,Blanket Single,Carpet Dry Cleaning,Dry Clean Household,Fabric Softener,Laundry & Dry Cleaning,Laundry & Dry cleaning Service,Pickup And Delivery,Premium Laundry,Quilt Double,Quilt Single,Saree Silk,Shoe Dry Cleaning,Sofa Cover Dry Cleaning,Stain Removal,Steam Iron,Wash & Fold,Wash & Iron,Wash, Dry And Fold,Washing Laundry"
"Online Laundry Services Gurgaon - Sunshine laundry & Dry clean l Sofa dry clean in Gurgaon","095605 46694","Block C2, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001","4.5","45","Services: Ironing,General clothes drying,Laundry wash and fold,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Laundry pick-up,Antiseptic Wash,Bag Cleaning,Blanket Double,Blanket Single,Carpet Cleaning,Clean Only,Cleaning And Laundry,Cleaning Process,Curtain Cleaning,Darning (Raffu),Dry Cleaning,Express Laundry,Ironed Laundry,Kg Wash,Laundry And Dry,Leather Cleaning,Online Laundry,Online Laundry Services,Pick Up & Drop,Pickup And Delivery,Premium Laundry,Quick Services,Shoe Laundry,Sofa Dry Cleaning,Sofa Dryclean,Steam Cleaning,Wash & Fold,Wash & Iron,Wet Washing,Woollen Clothes,Woollen Laundry"
"Pick My Laundry","099715 22720","House Number 497, Ground floor shop, Entry gate Maruti Vihar In Front of gate 1 of Maruti Vihar society, Sector 28, DLF Phase 1, Chakkarpur, Gurugram, Haryana 122002","4.7","149","Services: Ironing,Laundry wash and fold,Car wash,Carpet and rug cleaning,Coat & jacket alterations,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Laundry pick-up,Car Cleaning,Car Wash,Carpet Dry Cleaning,Clean Clothes,Home Cleaning,Laundry & Dry Cleaning,Laundry Wash & Fold,Pick And Drop,Premium Laundry,Premium Washing,Scheduled Pickup,Shoe Dry Cleaning,Sofa Cover Dry Cleaning,Steam Press,Wash & Iron,Washing And Dry Cleaning,Washing Clothes,Washing Machines"
"Nirmal Laundromat & Drycleaners","098717 59975","Shop No. LGF 40B, Raheja Mall, Badshahpur Sohna Rd Hwy, D1 Block, Sector 47, Gurugram, Haryana 122001","4.1","584","Services: Eco-friendly cleaning,Organic dry cleaning,Embroidery,Ironing,Clothing alterations & repairs,Laundry wash and fold,Car wash,Carpet and rug cleaning,Couches/sofas,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Hat cleaning,Online dry cleaner booking,Dry cleaning,Drapery & window cover cleaning,Alterations,General bedding cleaning,Laundry pick-up,Commercial service,Wedding gown preservation,Wedding dress cleaning,Cleaning Service,Dry Cleaning,Express Laundry,Laundromat Laundry,Laundry & Dry Cleaning,Laundry And Dry,Premium Laundry,Wash & Fold,Wash & Iron,General clothes drying,Party dress cleaning,Baby clothes cleaning,Pick Up"
"Tumbledry Dry Clean & Laundry Service","076772 50250","RHS 3, Rapid Metro Station, Golf Crse Rd, Sector 28, DLF Phase 1, Gurugram, Haryana 122009","4.7","176","Services: Laundry wash and fold,Carpet and rug cleaning,Coat & jacket alterations,Special care fabric cleaning,Leather and suede cleaning,Jackets,Delivery,Online dry cleaner booking,Dry cleaning,Art Dry Cleaning,Bag Cleaning,Blanket & Quilt Dry Cleaning,Canvas Shoes Dry Cleaning,Carpet Cleaning,Carpet Dry Cleaning,Coat & Blazer Dry Cleaning,Color Enhancement After Dry Cleaning,Curtain & Blinds Dry Cleaning,Curtain Dry Cleaning Service,Curtain Ring Replacement,Customized Treatment,Damaged Collar Replacement,Darning,Deep Cleaning,Dry Cleaning & Laundry,Dry Cleaning Facility,Free Pickup,Hand Bag Dry Cleaning,Haute Couture Dry Cleaning,Heel Replacement,Inner Lining Replacement,Inner Sole Replacement,Jacket Dry Cleaning,Laces Replacement,Leather & Suede,Leather & Suede Shoes Dry Cleaning,Leather Bag Dry Cleaning,Leather Dry Cleaning,Lehenga & Bridal Wear Dry Cleaning,Packing,Re Coloring,Saree Dry Cleaning,Silk Sarees,Soft Toys Dry Cleaning,Sole Pasting,Sorting & Inspection,Sport Shoes Dry Cleaning,Stain Removal,Stain Treatment,Steam Iron,Whitening After Dry Cleaning,Women Kurta & Salwar Dry Cleaning,Woolen & Shawl Dry Cleaning,Woolen Garments,Woolens Dry Cleaning"
"Bedaag laundry & dry cleaning","099909 77795","Street Number 1, Kirti Nagar, Sector 15 Part 1, Patel Nagar, Gurugram, Haryana 122001","5.0","97","Services: Quilt cleaning,Ironing,Laundry wash and fold,Special care fabric cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Dry cleaning,Drapery & window cover cleaning,General bedding cleaning,Laundry pick-up,Wedding gown preservation,Bed Sheets Cleaning,Cleaning Process,Commercial Laundry Services,Dry Cleaners,Dry Cleaning Cleaning,Dry clean,Express Service,Garment Care,Home Delivery Laundry Services,Ironed Clothes,Lahanga chunni , coat,Laundry & Dry Cleaner,Laundry & Dry Cleaning,Laundry & Dryclean,Laundry And Dry Cleaning Services,Laundry Process,Laundry Services For Hotel,Laundry service pickup & drop,Pickup And Delivery,Pickup And Drop,Quilt & blanket dry cleaning,Residential Laundry Services,Shoe Laundry Services,Shoes cleaning,Specialized Cleaning,Specialty Services,Steam Iron,Wash & Iron,Wash Your Clothes,Waste Management"
"Tumbledry Dry Clean & Laundry Service","076772 50250","M-16, Ground floor, near State Bank Of India, Block B, Old DLF Colony, Sector 14, Gurugram, Haryana 122001","4.6","127","Services: Ironing,Laundry wash and fold,Carpet and rug cleaning,Self-service laundry,Leather and suede cleaning,Delivery,Online dry cleaner booking,Dry cleaning,Laundry pick-up,Bag Cleaning & Restoration,Carpet Cleaning,Curtain Dry Cleaning,Damaged Collar Replacement,Deep Cleaning,Dry Cleaning & Laundry Service,Dry Cleaning Facility,Haute Couture Dry Cleaning,Heel Replacement,Inner Lining Replacement,Inner Sole Replacement,Laces Replacement,Leather & Suede,Leather Dry Cleaning,Re Coloring,Silk Sarees,Sole Pasting,Stain Removal,Steam Iron,Woolens Dry Cleaning"
"Gurugram Laundry","N/A","B175, Vyapar Kendra Rd, near Marriot court yard, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","4.9","58","Services: Baby clothes cleaning,Clothes dyeing,Delivery,Drapery & window cover cleaning,Dry cleaning,General bedding cleaning,Ironing,Laundry pick-up,Laundry wash and fold,Leather and suede cleaning,Party dress cleaning,Special care fabric cleaning,Car Cleaning,Caurtains,Sofa/Carpet Cleaning,Organic Dryclean,Washing Services"
